ID,NOMBRE ESTADO,SIGLADO,ID DTTO,CABECERA,ORIGEN PARTIDARIO,GRUPO
123,PUEBLA,PT,5,SAN MARTÍN,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,TEXMELUCAN DE,TRABAJO,
,,,,LABASTIDA,,
124,PUEBLA,MORENA,6,HEROICA PUEBLA,MORENA,MORENA
,,,,DE ZARAGOZA,,
125,PUEBLA,MORENA,7,TEPEACA,MORENA,MORENA
126,PUEBLA,MORENA,8,CIUDAD SERDÁN,MORENA,MORENA
127,PUEBLA,PVEM,9,HEROICA PUEBLA,PARTIDO VERDE,PARTIDO VERDE
,,,,DE ZARAGOZA,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
128,PUEBLA,MORENA,10,CHOLULA DE,MORENA,MORENA
,,,,RIVADAVIA,,
129,PUEBLA,MORENA,11,HEROICA PUEBLA,MORENA,MORENA
,,,,DE ZARAGOZA,,
130,PUEBLA,MORENA,12,HEROICA PUEBLA,MORENA,MORENA
,,,,DE ZARAGOZA,,
131,PUEBLA,MORENA,13,ATLIXCO,MORENA,MORENA
132,PUEBLA,PT,14,ACATLÁN DE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,OSORIO,TRABAJO,
133,PUEBLA,PT,15,TEHUACÁN,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
134,QUERÉTARO,MORENA,2,SAN JUAN DEL RÍO,MORENA,MORENA
135,QUERÉTARO,MORENA,3,SANTIAGO DE,MORENA,MORENA
,,,,QUERÉTARO,,
136,QUINTANA ROO,PVEM,1,PLAYA DEL CARMEN,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
137,QUINTANA ROO,MORENA,2,CHETUMAL,MORENA,MORENA
138,QUINTANA ROO,MORENA,3,CANCÚN,MORENA,MORENA
139,QUINTANA ROO,PVEM,4,CANCÚN,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
140,SAN LUIS POTOSÍ,PVEM,1,MATEHUALA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
141,SAN LUIS POTOSÍ,PVEM,3,RIOVERDE,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
142,SAN LUIS POTOSÍ,MORENA,4,CIUDAD VALLES,MORENA,MORENA
143,SAN LUIS POTOSÍ,PVEM,5,SAN LUIS POTOSÍ,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
144,SAN LUIS POTOSÍ,PVEM,6,SAN LUIS POTOSÍ,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
145,SAN LUIS POTOSÍ,PVEM,7,TAMAZUNCHALE,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
146,SINALOA,PT,1,MAZATLÁN,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
147,SINALOA,MORENA,2,LOS MOCHIS,MORENA,MORENA
148,SINALOA,PT,3,GUAMÚCHIL,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
